Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    2600        0     7890   100.0%           20      12245  (10490 7890 7829 7842)
    1646        3    16936    99.8%           20      12310  (18585 16936 16875 16872)
    1917        3    42494    99.8%           20      12478  (44414 42494 42333 42330)
    1748        3    22854    99.8%           20      12570  (24605 22854 22767 22764)
    1962        0    14908   100.0%           20      12632  (16870 14908 14840 14841)
    1598        3     5149    99.8%           20      12652  (6750 5149 5123 5120)
    1847        3    35501    99.8%           20      12792  (37351 35501 35367 35364)
    1832        4    30944    99.8%           20      12917  (32780 30944 30828 30824)
    2467        2    24084    99.9%           20      13013  (26553 24084 23976 23974)
    1844       10     4443    99.5%           20      13032  (6297 4443 4415 4405)
    1807        3    27101    99.8%           20      13138  (28911 27101 27000 26997)
    1805        4    30334    99.8%           20      13258  (32143 30334 30221 30217)
    1778        4    25451    99.8%           20      13361  (27233 25451 25356 25352)
    2619        0    10719   100.0%           21      13404  (13338 10719 10645 10647)
    1597        3    11804    99.8%           21      13450  (13404 11804 11763 11760)
    1911        3    43202    99.8%           21      13623  (45116 43202 43037 43034)
    1791        4    28822    99.8%           21      13737  (30617 28822 28714 28710)
    2675        5    12776    99.8%           21      13790  (15456 12776 12690 12685)
    1644        3    16166    99.8%           21      13853  (17813 16166 16108 16105)
    1928        4    40129    99.8%           21      14009  (42061 40129 39977 39973)
    1813        4    28648    99.8%           21      14129  (30465 28648 28541 28537)
    2665        0    11466   100.0%           21      14176  (14131 11466 11389 11393)
    1638        3    14631    99.8%           21      14233  (16272 14631 14579 14576)
    1913        3    42000    99.8%           21      14401  (43916 42000 41841 41838)
    1770        4    28136    99.8%           21      14511  (29910 28136 28030 28026)
    1940        0    13080   100.0%           21      14563  (15020 13080 13019 13020)
    1572        6     5402    99.6%           21      14584  (6980 5402 5379 5373)
    1802        2    32163    99.9%           21      14710  (33967 32163 32042 32040)
    1853        4    35321    99.8%           21      14852  (37178 35321 35188 35184)
    1893        1    22834    99.9%           21      14943  (24728 22834 22741 22740)
    2474        0     4662   100.0%           21      14962  (7136 4662 4622 4622)
    1784        3    32338    99.8%           21      15089  (34125 32338 32217 32214)
    1895        4    36179    99.8%           21      15235  (38078 36179 36042 36038)
    2038        0    23011   100.0%           21      15327  (25049 23011 22916 22918)
    2294        0     1740   100.0%           21      15336  (4034 1740 1713 1719)
    1757        0    25157   100.0%           21      15434  (26914 25157 25061 25061)
    1878        7    36599    99.6%           21      15581  (38484 36599 36465 36458)
    1781        0    27200   100.0%           21      15690  (28981 27200 27092 27092)
    2642        2     7636    99.9%           21      15723  (10280 7636 7581 7579)
    1687        0    18992   100.0%           21      15796  (20679 18992 18921 18921)
    1896        3    38869    99.8%           21      15952  (40768 38869 38724 38721)
    1667        3    18038    99.8%           21      16031  (19708 18038 17970 17967)
    1720        3    18688    99.8%           21      16109  (20411 18688 18615 18612)
    2568        0     5689   100.0%           21      16131  (8257 5689 5641 5643)
    1891        2    36231    99.9%           21      16273  (38124 36231 36092 36090)
    1776        4    27801    99.8%           21      16386  (29581 27801 27697 27693)
    1696        3    21637    99.8%           21      16471  (23336 21637 21554 21551)
    2585        0     5790   100.0%           21      16495  (8375 5790 5740 5741)
    1656        0    16940   100.0%           21      16560  (18596 16940 16876 16876)
    1905        7    41355    99.6%           21      16726  (43267 41355 41203 41196)
    1821        0    27084   100.0%           21      16834  (28905 27084 26976 26976)
    2653        8    11227    99.7%           21      16881  (13888 11227 11156 11148)
    1668        0    17453   100.0%           21      16948  (19121 17453 17387 17387)
    1904        7    39597    99.6%           21      17104  (41508 39597 39451 39444)
    1865        0    20770   100.0%           21      17192  (22635 20770 20685 20685)
    1884        0    18868   100.0%           21      17267  (20752 18868 18786 18786)
    1596        3     8224    99.8%           21      17299  (9823 8224 8186 8183)
    1895        3    39348    99.8%           21      17453  (41246 39348 39200 39197)
    1789        4    28242    99.8%           21      17569  (30035 28242 28136 28132)
    1693        3    17350    99.8%           21      17639  (19046 17350 17284 17281)
    2571        0     4053   100.0%           21      17656  (6624 4053 4007 4009)
    1739        2    25150    99.9%           21      17754  (26891 25150 25057 25055)
    1920        7    38920    99.6%           21      17910  (40847 38920 38777 38770)
    1763        3    21460    99.8%           21      17996  (23226 21460 21378 21375)
    2676        0    11057   100.0%           21      18040  (13733 11057 10984 10985)
    1611        0     8983   100.0%           21      18075  (10594 8983 8949 8949)
    1887        3    39350    99.8%           21      18230  (41240 39350 39202 39199)
    1805        0    30673   100.0%           21      18352  (32478 30673 30556 30556)
    2736        0    17704   100.0%           21      18427  (20440 17704 17624 17630)
    1550        2     5152    99.9%           21      18447  (6704 5152 5122 5120)
    1887        2    37303    99.9%           21      18593  (39192 37303 37163 37161)
    1832        4    32982    99.8%           21      18727  (34818 32982 32858 32854)
    1666        3    16877    99.8%           21      18794  (18546 16877 16813 16810)
    2591        0     4562   100.0%           21      18814  (7153 4562 4514 4515)
    1712        4    22065    99.8%           21      18899  (23781 22065 21986 21982)
    1909        4    37627    99.8%           21      19048  (39540 37627 37486 37482)
    1787        3    27089    99.8%           21      19160  (28879 27089 26985 26982)
    2647        0     9422   100.0%           22      19200  (12069 9422 9351 9356)
    1617        3    14110    99.8%           22      19254  (15730 14110 14061 14058)
    1907        4    42182    99.8%           22      19421  (44093 42182 42023 42019)
    1699        3    21251    99.8%           22      19509  (22953 21251 21170 21167)
    1842        0    17429   100.0%           22      19578  (19271 17429 17356 17356)
    2410        0     3934   100.0%           22      19594  (6344 3934 3888 3891)
    1811        1    32323    99.9%           22      19721  (34135 32323 32206 32205)
    1872        9    34389    99.5%           22      19860  (36270 34389 34265 34256)
    1773        0    26057   100.0%           22      19965  (27830 26057 25953 25953)
    2568        0     3431   100.0%           22      19979  (5999 3431 3389 3390)
    1785        3    30791    99.8%           22      20099  (32579 30791 30677 30674)
    1869        7    36532    99.6%           22      20247  (38408 36532 36397 36390)
    1797        0    24391   100.0%           22      20344  (26188 24391 24295 24295)
    2562        0     2518   100.0%           22      20358  (5080 2518 2475 2477)
    1707        3    18475    99.8%           22      20429  (20185 18475 18409 18406)
    1886        3    39284    99.8%           22      20585  (41173 39284 39136 39133)
    1754        4    26469    99.8%           22      20692  (28227 26469 26368 26364)
    2689        1    12858   100.0%           22      20744  (15548 12858 12780 12779)
    1628        0    11986   100.0%           22      20790  (13614 11986 11944 11945)
    1933        3    43273    99.8%           22      20961  (45209 43273 43108 43105)
    1752        4    25944    99.8%           22      21065  (27700 25944 25847 25843)
    1993        3    16558    99.8%           22      21131  (18554 16558 16486 16483)
    2332        0     5939   100.0%           22      21153  (8271 5939 5893 5895)
    1851        3    38324    99.8%           22      21303  (40178 38324 38180 38177)
    1796        4    28646    99.8%           22      21420  (30446 28646 28538 28534)
    1756        2    21407    99.9%           22      21510  (23165 21407 21323 21321)
    2520        0     1802   100.0%           22      21517  (4322 1802 1763 1775)
    1717        0    19505   100.0%           22      21593  (21222 19505 19432 19432)
    1898       11    40701    99.4%           22      21754  (42610 40701 40554 40543)
    1756        1    26515    99.9%           22      21862  (28272 26515 26412 26411)
    2606        3     9964    99.9%           22      21904  (12573 9964 9893 9890)
    1668        0    18476   100.0%           22      21976  (20144 18476 18407 18407)
    1929        6    42240    99.7%           22      22144  (44175 42240 42082 42076)
    1700        1    19962    99.9%           22      22222  (21663 19962 19885 19884)
    1983        2    16582    99.9%           22      22290  (18567 16582 16509 16507)
    1554        3     6432    99.8%           22      22314  (7989 6432 6401 6398)
    1909        3    39566    99.8%           22      22471  (41478 39566 39417 39414)
    1711        4    21769    99.8%           22      22559  (23484 21769 21688 21684)
    1755       10    25230    99.4%           22      22658  (26995 25230 25140 25130)
    2590        0     4142   100.0%           22      22676  (6732 4142 4090 4096)
    1684        0    17445   100.0%           22      22743  (19129 17445 17380 17380)
    1951        7    42173    99.6%           22      22912  (44131 42173 42018 42011)
    1763        2    23987    99.9%           22      23010  (25752 23987 23894 23892)
    2676        0    13025   100.0%           22      23062  (15701 13025 12937 12940)
    1630        0    11549   100.0%           22      23106  (13179 11549 11506 11506)
    1967        7    43329    99.6%           22      23278  (45303 43329 43168 43161)
    1689        1    18926    99.9%           22      23355  (20616 18926 18852 18851)
    1756        3    22317    99.8%           22      23447  (24076 22317 22231 22228)
    2542        0     2357   100.0%           22      23457  (4899 2357 2316 2318)
    1774        5    30031    99.7%           22      23574  (31810 30031 29922 29917)
    1870        4    37058    99.8%           22      23724  (38932 37058 36918 36914)
    1748        3    23399    99.8%           22      23817  (25150 23399 23309 23306)
    2592        0     4824   100.0%           22      23838  (7416 4824 4774 4775)
    1749        3    27721    99.8%           22      23946  (29473 27721 27618 27615)
    1919        3    38399    99.8%           22      24100  (40321 38399 38255 38252)
    1778        3    26418    99.8%           22      24206  (28199 26418 26316 26313)
    2572        0     3801   100.0%           22      24224  (6373 3801 3755 3756)
    1750        3    27976    99.8%           22      24333  (29729 27976 27872 27869)
    1882        4    38914    99.8%           22      24489  (40800 38914 38768 38764)
    1688        3    17667    99.8%           22      24561  (19358 17667 17600 17597)
    2649        0    11327   100.0%           22      24608  (13976 11327 11246 11263)
    1599        3    11550    99.8%           22      24653  (13152 11550 11509 11506)
    1870        4    35234    99.8%           22      24792  (37108 35234 35103 35099)
    1958        4    33238    99.8%           22      24926  (35200 33238 33107 33103)
    2431        0    16695   100.0%           22      24995  (19126 16695 16607 16609)
    1625        3    10786    99.8%           23      25036  (12414 10786 10742 10739)
    1920        3    41332    99.8%           23      25200  (43255 41332 41175 41172)
    1798        4    27071    99.8%           23      25309  (28873 27071 26969 26965)
    1702        0    17342   100.0%           23      25381  (19044 17342 17272 17272)
    2560        0     4149   100.0%           23      25397  (6709 4149 4106 4107)
    1821        6    34383    99.7%           23      25532  (36210 34383 34257 34251)
    1892        7    34366    99.6%           23      25671  (36265 34366 34239 34232)
    1736        0    22979   100.0%           23      25764  (24715 22979 22888 22888)
    2575        1     3187   100.0%           23      25777  (5763 3187 3142 3141)
    1748        0    27456   100.0%           23      25884  (29204 27456 27351 27351)
    1929        7    40811    99.6%           23      26047  (42747 40811 40661 40654)
    1839        1    18571    99.9%           23      26121  (20411 18571 18493 18492)
    2461        0     7579   100.0%           23      26153  (10040 7579 7522 7523)
    1683        2    17957    99.9%           23      26221  (19642 17957 17892 17890)
    1904        4    41020    99.8%           23      26384  (42928 41020 40866 40862)
    1748        2    24888    99.9%           23      26487  (26638 24888 24792 24790)
    1654        4    12817    99.8%           23      26539  (14475 12817 12769 12765)
    2590        0     5185   100.0%           23      26559  (7775 5185 5129 5133)
    1867        2    36529    99.9%           23      26702  (38398 36529 36389 36387)
    1829        4    33269    99.8%           23      26837  (35102 33269 33144 33140)
    1763        3    22654    99.8%           23      26925  (24420 22654 22566 22563)
    2589        0     4410   100.0%           23      26943  (6999 4410 4363 4364)
    1800        3    34909    99.8%           23      27080  (36712 34909 34778 34775)
    1866        4    35840    99.8%           23      27226  (37710 35840 35706 35702)
    2018        6    19758    99.7%           23      27307  (21782 19758 19677 19671)
    2266        0     2941   100.0%           23      27320  (5207 2941 2907 2908)
    1767        3    28489    99.8%           23      27432  (30259 28489 28383 28380)
    1879        4    35835    99.8%           23      27576  (37718 35835 35700 35696)
    1773        3    24888    99.8%           23      27676  (26664 24888 24792 24789)
    2584        0     5595   100.0%           23      27699  (8179 5595 5542 5555)
    1656        0    16681   100.0%           23      27763  (18337 16681 16619 16619)
    1921        4    41221    99.8%           23      27927  (43146 41221 41066 41062)
    1778        0    27403   100.0%           23      28037  (29181 27403 27295 27295)
    1795        4    12053    99.8%           23      28086  (13852 12053 12004 12000)
    2430        0     6458   100.0%           23      28111  (8888 6458 6407 6411)
    1855        3    35490    99.8%           23      28251  (37348 35490 35356 35353)
    1870        4    33753    99.8%           23      28385  (35627 33753 33625 33621)
    1770        3    22013    99.8%           23      28472  (23786 22013 21927 21924)
    2566        0     4922   100.0%           23      28491  (7488 4922 4873 4876)
    1832        3    33911    99.8%           23      28625  (35746 33911 33783 33780)
    1837        4    31775    99.8%           23      28754  (33616 31775 31656 31652)
    1724        2    17955    99.9%           23      28825  (19681 17955 17887 17885)
    2628        0     7593   100.0%           23      28858  (10221 7593 7532 7533)
    1697        0    17705   100.0%           23      28927  (19402 17705 17639 17639)
    1920        3    38063    99.8%           23      29078  (39986 38063 37920 37917)
    1748        6    27293    99.7%           23      29186  (29047 27293 27191 27185)
    2684        0    14060   100.0%           23      29244  (16744 14060 13969 13973)
