Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1495        0        0   100.0%            4       1458  (1495 0 0 0)
    1521        0        0   100.0%            4       1458  (1521 0 0 0)
    1120        0        0   100.0%            4       1458  (1120 0 0 0)
    1146        0        0   100.0%            4       1458  (1146 0 0 0)
    1523        0        0   100.0%            4       1458  (1523 0 0 0)
    1880        0        1   100.0%            4       1458  (1881 1 0 1)
    1119        0        0   100.0%            4       1458  (1119 0 0 0)
    1514        0        0   100.0%            4       1458  (1514 0 0 0)
    1514        0        0   100.0%            4       1458  (1514 0 0 0)
    1146        0        0   100.0%            4       1458  (1146 0 0 0)
    1514        0        0   100.0%            4       1458  (1514 0 0 0)
    1140        1        1    99.9%            4       1458  (1142 1 2 1)
    1133        0        0   100.0%            4       1458  (1133 0 0 0)
    1521        1        0    99.9%            5       1458  (1522 0 1 0)
    1110        0        0   100.0%            5       1458  (1110 0 0 0)
    1514        0        0   100.0%            5       1458  (1514 0 0 0)
    1519        0        0   100.0%            5       1458  (1519 0 0 0)
    1511        0        0   100.0%            5       1458  (1511 0 0 0)
    1131        0        0   100.0%            5       1458  (1131 0 0 0)
    1113        0        0   100.0%            5       1458  (1113 0 0 0)
    1109        0        0   100.0%            5       1458  (1109 0 0 0)
    1123        0        0   100.0%            5       1458  (1123 0 0 0)
    1513        0        0   100.0%            5       1458  (1513 0 0 0)
    1123        0        0   100.0%            5       1458  (1123 0 0 0)
    1512        0        0   100.0%            5       1458  (1512 0 0 0)
    1122        1        1    99.9%            5       1458  (1124 1 2 1)
    1110        0        0   100.0%            5       1458  (1110 0 0 0)
    1113        0        0   100.0%            5       1458  (1113 0 0 0)
    1122        0        0   100.0%            5       1458  (1122 0 0 0)
    1507        0        0   100.0%            5       1458  (1507 0 0 0)
    1520        0        0   100.0%            5       1458  (1520 0 0 0)
    1119        0        0   100.0%            5       1458  (1119 0 0 0)
    1528        0        0   100.0%            5       1458  (1528 0 0 0)
    1507        0        0   100.0%            5       1458  (1507 0 0 0)
    1521        0        0   100.0%            5       1458  (1521 0 0 0)
    1122        0        0   100.0%            5       1458  (1122 0 0 0)
    1529        2        1    99.9%            5       1458  (1532 1 2 0)
    1535        0        0   100.0%            5       1458  (1535 0 0 0)
    1521        0        0   100.0%            5       1458  (1521 0 0 0)
    1535        0        0   100.0%            5       1458  (1535 0 0 0)
    1110        0        0   100.0%            5       1458  (1110 0 0 0)
    1534        0       13   100.0%            5       1458  (1547 13 3 3)
    1132        1       20    99.9%            5       1458  (1153 20 1 0)
    1125        0        2   100.0%            5       1458  (1127 2 0 0)
    1504        0        0   100.0%            5       1458  (1504 0 0 0)
    1528        0        0   100.0%            5       1458  (1528 0 0 0)
    1521        2        2    99.9%            5       1458  (1525 2 2 0)
    1123        0        0   100.0%            5       1458  (1123 0 0 0)
    1122        0        0   100.0%            5       1458  (1122 0 0 0)
    1514        0        0   100.0%            5       1458  (1514 0 0 0)
