Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1826        2    34456    99.9%          176      44775  (36284 34456 34327 34325)
    1725        5    21294    99.7%          176      44863  (23024 21294 21217 21212)
    1685        4    17074    99.8%          176      44931  (18763 17074 17011 17007)
    1686        7    12064    99.6%          176      44979  (13757 12064 12021 12014)
    2565        0     4921   100.0%          176      44998  (7486 4921 4874 4876)
    1843        4    35237    99.8%          176      45137  (37084 35237 35105 35101)
    1765        6    26714    99.7%          176      45247  (28485 26714 26617 26611)
    1699        2    17416    99.9%          176      45316  (19117 17416 17349 17347)
    2688        0    11832   100.0%          176      45366  (14520 11832 11756 11757)
    1580        1     8182    99.9%          176      45396  (9763 8182 8155 8154)
    1918        4    41548    99.8%          176      45562  (43470 41548 41395 41391)
    1658        5    15215    99.7%          176      45625  (16878 15215 15160 15155)
    1730        6    21971    99.7%          176      45710  (23707 21971 21890 21884)
    5393        0    10336   100.0%          176      45752  (15729 10336 10257 10306)
    1581        0     8727   100.0%          176      45786  (10308 8727 8694 8694)
    1891        5    41908    99.7%          176      45952  (43804 41908 41752 41747)
    1659        5    14388    99.7%          176      46012  (16052 14388 14337 14332)
    1723        6    23305    99.7%          176      46102  (25034 23305 23219 23213)
    1747        1     9418    99.9%          177      46139  (11166 9418 9369 9368)
    2467        0     3960   100.0%          177      46154  (6427 3960 3922 3927)
    1842        3    35966    99.8%          177      46295  (37811 35966 35834 35831)
    1741        6    23703    99.7%          177      46396  (25450 23703 23616 23610)
    1729        4    16194    99.8%          177      46460  (17927 16194 16134 16130)
    1727        3    16443    99.8%          177      46525  (18173 16443 16379 16376)
    2567        0     4671   100.0%          177      46542  (7238 4671 4620 4622)
    1785        3    29508    99.8%          177      46660  (31296 29508 29399 29396)
    1717        6    21083    99.7%          177      46744  (22806 21083 21007 21001)
    1748       10    24984    99.4%          177      46845  (26742 24984 24895 24885)
    1672        1    16605    99.9%          177      46911  (18278 16605 16538 16537)
    2549        0     1333   100.0%          177      46915  (3882 1333 1297 1299)
    1767        4    29769    99.8%          177      47031  (31540 29769 29661 29657)
    1807        5    31639    99.7%          177      47161  (33451 31639 31522 31517)
    1660        5    13770    99.7%          177      47214  (15435 13770 13721 13716)
    1739        3    20808    99.8%          177      47296  (22550 20808 20727 20724)
    2556        0     2615   100.0%          177      47306  (5171 2615 2573 2585)
    1808        3    35160    99.8%          177      47446  (36971 35160 35028 35025)
    1799        7    27364    99.6%          177      47557  (29170 27364 27265 27258)
    1689        3    18712    99.8%          177      47633  (20404 18712 18642 18639)
    1669        3    12295    99.8%          177      47683  (13967 12295 12248 12245)
    2573        0     2102   100.0%          177      47691  (4675 2102 2062 2066)
    1816        3    34652    99.8%          177      47827  (36471 34652 34523 34520)
    1782        8    29155    99.6%          177      47944  (30945 29155 29050 29042)
    1664        4    16697    99.8%          177      48014  (18365 16697 16635 16631)
    1677        3    13899    99.8%          177      48068  (15579 13899 13846 13843)
    2551        0     1846   100.0%          177      48076  (4397 1846 1806 1811)
    1819        3    33881    99.8%          177      48209  (35703 33881 33755 33752)
    1726        6    20033    99.7%          177      48293  (21765 20033 19962 19956)
    1706        5    22034    99.7%          177      48382  (23745 22034 21952 21947)
    1683        4    15811    99.8%          177      48445  (17498 15811 15752 15748)
    2598        0     2255   100.0%          177      48456  (4853 2255 2216 2217)
    1727        3    24898    99.8%          177      48553  (26628 24898 24806 24803)
    1843        8    35822    99.6%          177      48697  (37673 35822 35692 35684)
    1641        7    15472    99.6%          177      48762  (17120 15472 15418 15411)
    1714        3    19638    99.8%          177      48841  (21355 19638 19563 19560)
    2570        0      896   100.0%          177      48845  (3466 896 860 864)
    1745        4    26182    99.8%          177      48946  (27931 26182 26086 26082)
    1861        6    37272    99.7%          177      49098  (39139 37272 37135 37129)
    1649        4    14897    99.8%          177      49157  (16550 14897 14842 14838)
    1693        3    18260    99.8%          177      49230  (19956 18260 18189 18186)
    2563        0     4159   100.0%          177      49245  (6722 4159 4112 4112)
    1858        4    38487    99.8%          177      49396  (40349 38487 38344 38340)
    1769        2    24563    99.9%          177      49498  (26334 24563 24469 24467)
    1694        6    16125    99.6%          177      49560  (17825 16125 16067 16061)
